Nombre de la imagen,Peso real (g),Peso estimado (g),RMSE (g)
B_CUY_01_017_05,553.38224,1491.2771759540944,937.8949359540944
B_CUY_01_014_10,648.63656,1398.0347547064605,749.3981947064605
B_CUY_01_024_01,771.1064,1235.6124725331624,464.5060725331624
B_CUY_01_017_01,553.38224,863.2443515506759,309.8621115506759
B_CUY_01_024_04,771.1064,1373.0698483724166,601.9634483724166
B_CUY_01_014_01,648.63656,1230.7999604687686,582.1634004687686
B_CUY_01_014_02,648.63656,1349.0072880504465,700.3707280504465
B_CUY_01_024_02,771.1064,1212.1514762192417,441.04507621924165
B_CUY_01_026_05,734.81904,986.5649732007724,251.74593320077247
B_CUY_01_017_06,553.38224,1310.2064095312696,756.8241695312696
B_CUY_01_017_10,553.38224,857.2287114701834,303.84647147018336
B_CUY_01_024_05,771.1064,1155.0028954545628,383.8964954545628
B_CUY_01_024_07,771.1064,1140.5653592613808,369.45895926138076
B_CUY_01_017_08,553.38224,1150.4911653941936,597.1089253941935
B_CUY_01_014_13,648.63656,869.2599916311684,220.6234316311684
B_CUY_01_014_09,648.63656,891.5178599289907,242.88129992899064
B_CUY_01_024_08,771.1064,1140.5653592613808,369.45895926138076
B_CUY_01_024_09,771.1064,962.5024128788024,191.39601287880237
B_CUY_01_014_07,648.63656,1461.800539559681,813.163979559681
B_CUY_01_017_11,553.38224,1029.2760177722694,475.89377777226935
B_CUY_01_014_06,648.63656,1229.59683245267,580.96027245267
B_CUY_01_017_07,553.38224,1494.8865600023898,941.5043200023898
B_CUY_01_014_04,648.63656,1167.0341756155478,518.3976156155478
B_CUY_01_014_12,648.63656,1278.3235171046595,629.6869571046594
B_CUY_01_014_08,648.63656,890.3147319128922,241.67817191289214
B_CUY_01_014_11,648.63656,960.0961568466054,311.45959684660534
B_CUY_01_017_04,553.38224,1282.2336831569796,728.8514431569796
B_CUY_01_026_02,734.81904,952.8773887500143,218.05834875001437
B_CUY_01_014_05,648.63656,1136.9559752130854,488.31941521308534
B_CUY_01_014_14,648.63656,1099.358224710007,450.7216647100071
B_CUY_01_024_03,771.1064,1032.2838378125155,261.17743781251545
B_CUY_01_024_06,771.1064,1356.526838151062,585.4204381510621
B_CUY_01_014_16,648.63656,1349.9096340625204,701.2730740625203
B_CUY_01_026_06,734.81904,1061.1589101988795,326.33987019887957
B_CUY_01_017_09,553.38224,1422.9996610405044,869.6174210405044
B_CUY_01_017_03,553.38224,1099.358224710007,545.9759847100071
B_CUY_01_014_15,648.63656,1010.6275335227425,361.9909735227425
B_CUY_01_026_04,734.81904,1140.5653592613808,405.7463192613808
B_CUY_01_024_10,771.1064,1061.1589101988795,290.05251019887953
B_CUY_01_024_11,771.1064,1280.1282091288072,509.02180912880715
B_CUY_01_026_01,734.81904,1060.5573461908305,325.7383061908305
B_CUY_01_045_04,934.39952,1376.3784504166874,441.9789304166874
B_CUY_01_049_03,408.2328,1020.2525576515305,612.0197576515305
B_CUY_01_045_07,934.39952,1488.5701379178727,554.1706179178726
B_CUY_01_045_03,934.39952,1241.628112613655,307.228592613655
B_CUY_01_065_02,390.08912,962.5024128788024,572.4132928788024
B_CUY_01_045_13,934.39952,1298.1751293702846,363.77560937028454
B_CUY_01_043_11,1097.69264,1300.5813854024816,202.88874540248162
B_CUY_01_045_09,934.39952,1353.5190181108158,419.1194981108157
B_CUY_01_049_09,408.2328,1042.2096439453283,633.9768439453283
B_CUY_01_049_10,408.2328,813.9161028906373,405.68330289063726
B_CUY_01_049_05,408.2328,1186.284223873124,778.0514238731239
B_CUY_01_043_05,1097.69264,1513.5350442519168,415.84240425191683
B_CUY_01_043_07,1097.69264,1537.5976045738869,439.9049645738869
B_CUY_01_043_04,1097.69264,1339.9838279297076,242.29118792970758
B_CUY_01_065_01,390.08912,1048.5260660298454,658.4369460298454
B_CUY_01_045_15,934.39952,1366.7534262878994,432.35390628789935
B_CUY_01_026_10,734.81904,1169.4404316477448,434.6213916477449
B_CUY_01_043_06,1097.69264,1386.0034745454755,288.3108345454755
B_CUY_01_043_02,1097.69264,1328.8548937807966,231.16225378079662
B_CUY_01_049_04,408.2328,1086.4245985369482,678.1917985369482
B_CUY_01_045_12,934.39952,1259.0734688470834,324.67394884708335
B_CUY_01_065_03,390.08912,1086.4245985369482,696.3354785369482
B_CUY_01_045_14,934.39952,1310.2064095312696,375.8068895312696
B_CUY_01_049_06,408.2328,1061.1589101988795,652.9261101988795
B_CUY_01_043_12,1097.69264,1667.535430312525,569.842790312525
B_CUY_01_045_02,934.39952,1914.4774556167429,980.0779356167428
B_CUY_01_043_09,1097.69264,1697.0120667069384,599.3194267069384
B_CUY_01_026_11,734.81904,1831.7624045099708,1096.9433645099707
B_CUY_01_026_13,734.81904,843.6935212890752,108.87448128907522
B_CUY_01_026_09,734.81904,1162.2216635511538,427.40262355115385
B_CUY_01_045_08,934.39952,1667.535430312525,733.135910312525
B_CUY_01_026_12,734.81904,1284.3391571851519,549.5201171851519
B_CUY_01_045_05,934.39952,1296.9720013541862,362.57248135418615
B_CUY_01_043_08,1097.69264,1282.2336831569796,184.54104315697964
B_CUY_01_043_14,1097.69264,1218.1671162997343,120.4744762997343
B_CUY_01_049_08,408.2328,891.5178599289907,483.2850599289907
B_CUY_01_043_03,1097.69264,1263.284416903428,165.59177690342813
B_CUY_01_043_01,1097.69264,1547.824192710724,450.131552710724
B_CUY_01_043_10,1097.69264,1642.2697419744566,544.5771019744566
B_CUY_01_049_02,408.2328,976.9399490719844,568.7071490719844
B_CUY_01_049_01,408.2328,918.8890222952316,510.6562222952316
B_CUY_01_045_10,934.39952,1457.2888094993118,522.8892894993118
B_CUY_01_065_04,390.08912,1289.7532332575952,899.6641132575952
B_CUY_01_045_06,934.39952,1417.2848029640365,482.8852829640365
B_CUY_01_045_11,934.39952,1970.7236903693479,1036.324170369348
B_CUY_01_026_14,734.81904,925.807008387798,190.987968387798
B_CUY_01_049_07,408.2328,891.5178599289907,483.2850599289907
