Nombre de la imagen,Peso real (g),Peso estimado (g),RMSE (g)
B_CUY_01_017_05,553.38224,1051.8743913265027,498.4921513265027
B_CUY_01_014_10,648.63656,986.1057222439663,337.46916224396625
B_CUY_01_024_01,771.1064,871.5409438421285,100.4345438421285
B_CUY_01_017_01,553.38224,608.8905815060635,55.508341506063516
B_CUY_01_024_04,771.1064,968.4966914896097,197.3902914896097
B_CUY_01_014_01,648.63656,868.1464318894815,219.50987188948147
B_CUY_01_014_02,648.63656,951.5241317263745,302.8875717263745
B_CUY_01_024_02,771.1064,854.9926980729742,83.88629807297423
B_CUY_01_026_05,734.81904,695.874950292644,38.94408970735594
B_CUY_01_017_06,553.38224,924.1558791081577,370.7736391081577
B_CUY_01_017_10,553.38224,604.6474415652547,51.26520156525464
B_CUY_01_024_05,771.1064,814.6828686352906,43.57646863529055
B_CUY_01_024_07,771.1064,804.4993327773494,33.392932777349415
B_CUY_01_017_08,553.38224,811.500513679684,258.11827367968397
B_CUY_01_014_13,648.63656,613.1337214468723,35.50283855312773
B_CUY_01_014_09,648.63656,628.8333392278649,19.80322077213509
B_CUY_01_024_08,771.1064,804.4993327773494,33.392932777349415
B_CUY_01_024_09,771.1064,678.9023905294088,92.20400947059125
B_CUY_01_014_07,648.63656,1031.0830056165396,382.44644561653956
B_CUY_01_017_11,553.38224,726.0012438723866,172.61900387238654
B_CUY_01_014_06,648.63656,867.2978039013198,218.66124390131972
B_CUY_01_017_07,553.38224,1054.420275290988,501.038035290988
B_CUY_01_014_04,648.63656,823.1691485169082,174.53258851690816
B_CUY_01_014_12,648.63656,901.667237421871,253.03067742187102
B_CUY_01_014_08,648.63656,627.9847112397032,20.651848760296843
B_CUY_01_014_11,648.63656,677.2051345530853,28.568574553085227
B_CUY_01_017_04,553.38224,904.4252783833967,351.0430383833967
B_CUY_01_026_02,734.81904,672.1133666241147,62.705673375885226
B_CUY_01_014_05,648.63656,801.9534488128642,153.31688881286414
B_CUY_01_014_14,648.63656,775.4338241828091,126.79726418280904
B_CUY_01_024_03,771.1064,728.122813842791,42.98358615720906
B_CUY_01_024_06,771.1064,956.8280566523855,185.7216566523855
B_CUY_01_014_16,648.63656,952.1606027174959,303.52404271749583
B_CUY_01_026_06,734.81904,748.4898855586732,13.67084555867325
B_CUY_01_017_09,553.38224,1003.7147529983229,450.33251299832284
B_CUY_01_017_03,553.38224,775.4338241828091,222.05158418280905
B_CUY_01_014_15,648.63656,712.8475100558792,64.21095005587915
B_CUY_01_026_04,734.81904,804.4993327773494,69.68029277734945
B_CUY_01_024_10,771.1064,748.4898855586732,22.616514441326785
B_CUY_01_024_11,771.1064,902.9401794041137,131.83377940411367
B_CUY_01_026_01,734.81904,748.0655715645923,13.246531564592374
B_CUY_01_045_04,934.39952,970.8304184570545,36.43089845705447
B_CUY_01_049_03,408.2328,719.6365339611733,311.4037339611733
B_CUY_01_045_07,934.39952,1049.9649783531388,115.56545835313875
B_CUY_01_045_03,934.39952,875.7840837829374,58.615436217062665
B_CUY_01_065_02,390.08912,678.9023905294088,288.8132705294088
B_CUY_01_045_13,934.39952,915.6695992265401,18.72992077345998
B_CUY_01_043_11,1097.69264,917.3668552028637,180.3257847971363
B_CUY_01_045_09,934.39952,954.7064866819811,20.306966681981066
B_CUY_01_049_09,408.2328,735.1239947451255,326.8911947451255
B_CUY_01_049_10,408.2328,574.0968339914314,165.86403399143137
B_CUY_01_049_05,408.2328,836.7471963274963,428.51439632749634
B_CUY_01_043_05,1097.69264,1067.5740091074954,30.118630892504598
B_CUY_01_043_07,1097.69264,1084.5465688707307,13.14607112926933
B_CUY_01_043_04,1097.69264,945.1594218151613,152.5332181848387
B_CUY_01_065_01,390.08912,739.5792916829747,349.49017168297473
B_CUY_01_045_15,934.39952,964.0413945517605,29.641874551760452
B_CUY_01_026_10,734.81904,824.8664044932317,90.04736449323173
B_CUY_01_043_06,1097.69264,977.6194423623487,120.07319763765133
B_CUY_01_043_02,1097.69264,937.309612924665,160.383027075335
B_CUY_01_049_04,408.2328,766.3110733100701,358.07827331007013
B_CUY_01_045_12,934.39952,888.0891896112829,46.31033038871715
B_CUY_01_065_03,390.08912,766.3110733100701,376.22195331007015
B_CUY_01_045_14,934.39952,924.1558791081577,10.243640891842347
B_CUY_01_049_06,408.2328,748.4898855586732,340.2570855586732
B_CUY_01_043_12,1097.69264,1176.1983915922008,78.5057515922008
B_CUY_01_045_02,934.39952,1350.3792861624022,415.97976616240214
B_CUY_01_043_09,1097.69264,1196.989777302164,99.29713730216395
B_CUY_01_026_11,734.81904,1292.036111976281,557.2170719762811
B_CUY_01_026_13,734.81904,595.1003766984348,139.71866330156513
B_CUY_01_026_09,734.81904,819.7746365642611,84.9555965642611
B_CUY_01_045_08,934.39952,1176.1983915922008,241.79887159220073
B_CUY_01_026_12,734.81904,905.9103773626798,171.09133736267984
B_CUY_01_045_05,934.39952,914.8209712383783,19.578548761621732
B_CUY_01_043_08,1097.69264,904.4252783833967,193.26736161660324
B_CUY_01_043_14,1097.69264,859.235838013783,238.456801986217
B_CUY_01_049_08,408.2328,628.8333392278649,220.60053922786494
B_CUY_01_043_03,1097.69264,891.059387569849,206.63325243015095
B_CUY_01_043_01,1097.69264,1091.7599067701055,5.932733229894438
B_CUY_01_043_10,1097.69264,1158.3772038408038,60.684563840803776
B_CUY_01_049_02,408.2328,689.0859263873499,280.8531263873499
B_CUY_01_049_01,408.2328,648.1396259585449,239.9068259585449
B_CUY_01_045_10,934.39952,1027.900650660933,93.50113066093297
B_CUY_01_065_04,390.08912,909.7292033094078,519.6400833094078
B_CUY_01_045_06,934.39952,999.6837700545544,65.28425005455438
B_CUY_01_045_11,934.39952,1390.0526446089646,455.6531246089645
B_CUY_01_026_14,734.81904,653.0192368904751,81.79980310952487
B_CUY_01_049_07,408.2328,628.8333392278649,220.60053922786494
B_CUY_01_043_13,1097.69264,1082.6371558973665,15.0554841026335
CUY_00_029_03,681.0,465.8967655008068,215.1032344991932
B_CUY_01_101_10,489.87936,542.2732844353653,52.39392443536531
B_CUY_01_066_09,381.01728,775.85813817689,394.8408581768899
B_CUY_01_066_14,381.01728,675.0835645826809,294.06628458268085
B_CUY_01_083_03,145.14944,268.3786012561569,123.22916125615691
B_CUY_01_101_02,489.87936,658.7474758105669,168.8681158105669
B_CUY_01_101_18,489.87936,620.5592163432877,130.67985634328772
B_CUY_01_101_04,489.87936,468.8669634593729,21.012396540627094
B_CUY_01_076_05,281.22704,700.1180902334528,418.8910502334528
B_CUY_01_101_11,489.87936,541.6368134442439,51.75745344424388
B_CUY_01_066_11,381.01728,756.127537452129,375.11025745212896
B_CUY_01_076_02,281.22704,595.3125336954753,314.0854936954753
B_CUY_01_065_07,390.08912,748.4898855586732,358.40076555867324
B_CUY_01_083_02,145.14944,336.0566833120574,190.90724331205737
B_CUY_01_076_10,281.22704,665.3243427188206,384.09730271882063
B_CUY_01_101_14,489.87936,602.1015576007694,112.22219760076939
B_CUY_01_076_03,281.22704,536.7572025123138,255.53016251231384
B_CUY_01_065_06,390.08912,678.053762541247,287.96464254124703
B_CUY_01_101_13,489.87936,602.1015576007694,112.22219760076939
B_CUY_01_066_15,381.01728,619.4984313580856,238.48115135808553
B_CUY_01_083_01,145.14944,307.62764570863834,162.47820570863834
B_CUY_01_065_10,390.08912,1140.5560160894067,750.4668960894068
CUY_00_029_02,681.0,515.5415028082698,165.4584971917302
CUY_00_007_02,884.0,1242.815688662899,358.815688662899
B_CUY_01_101_15,489.87936,490.08266316341695,0.20330316341693333
B_CUY_01_065_09,390.08912,801.9534488128642,411.8643288128642
B_CUY_01_101_17,489.87936,580.4615439026445,90.58218390264449
B_CUY_01_101_01,489.87936,542.2732844353653,52.39392443536531
B_CUY_01_066_12,381.01728,693.3290663281588,312.31178632815875
CUY_00_007_04,884.0,1458.1550406589458,574.1550406589458
CUY_00_007_03,884.0,1239.2090197132115,355.20901971321155
B_CUY_01_076_09,281.22704,548.2136803524976,266.9866403524976
B_CUY_01_066_07,381.01728,836.3228823334155,455.30560233341544
B_CUY_01_066_05,381.01728,647.715311964464,266.698031964464
B_CUY_01_076_08,281.22704,616.1039194054384,334.87687940543844
B_CUY_01_066_06,381.01728,711.5745680736366,330.5572880736365
CUY_00_007_07,884.0,974.2249304097016,90.22493040970164
B_CUY_01_066_04,381.01728,564.3376121275711,183.32033212757108
B_CUY_01_083_05,145.14944,275.8040961525723,130.6546561525723
B_CUY_01_101_12,489.87936,548.0015233554572,58.12216335545713
B_CUY_01_066_08,381.01728,765.4624453219084,384.44516532190835
B_CUY_01_076_04,281.22704,672.1133666241147,390.88632662411476
B_CUY_01_101_05,489.87936,634.3494211509163,144.4700611509163
B_CUY_01_101_16,489.87936,620.3470593462473,130.4676993462473
B_CUY_01_066_13,381.01728,737.4577217125703,356.4404417125703
B_CUY_01_066_02,381.01728,963.8292375547201,582.81195755472
B_CUY_01_066_03,381.01728,817.6530665938567,436.63578659385666
B_CUY_01_101_09,489.87936,725.5769298783057,235.69756987830567
