Nombre de la imagen,Peso real (g),Peso estimado (g),RMSE (g)
B_CUY_01_017_05,553.38224,1094.9060229825677,541.5237829825677
B_CUY_01_014_10,648.63656,1026.4467920175423,377.81023201754226
B_CUY_01_024_01,771.1064,907.1952284010465,136.0888284010465
B_CUY_01_017_01,553.38224,633.7999769987837,80.41773699878365
B_CUY_01_024_04,771.1064,1008.1173850172291,237.01098501722913
B_CUY_01_014_01,648.63656,903.6618487383355,255.02528873833546
B_CUY_01_014_02,648.63656,990.4504867036742,341.81392670367416
B_CUY_01_024_02,771.1064,889.9700025453304,118.86360254533042
B_CUY_01_026_05,734.81904,724.3428308557528,10.47620914424715
B_CUY_01_017_06,553.38224,961.9626131730669,408.58037317306685
B_CUY_01_017_10,553.38224,629.3832524203949,76.00101242039489
B_CUY_01_024_05,771.1064,848.0111190506374,76.90471905063737
B_CUY_01_024_07,771.1064,837.4109800625044,66.30458006250444
B_CUY_01_017_08,553.38224,844.6985756168459,291.3163356168459
B_CUY_01_014_13,648.63656,638.2167015771724,10.419858422827588
B_CUY_01_014_09,648.63656,654.5585825172108,5.922022517210735
B_CUY_01_024_08,771.1064,837.4109800625044,66.30458006250444
B_CUY_01_024_09,771.1064,706.6759325421979,64.43046745780214
B_CUY_01_014_07,648.63656,1073.264072548463,424.62751254846296
B_CUY_01_017_11,553.38224,755.7015753623128,202.3193353623128
B_CUY_01_014_06,648.63656,902.7785038226577,254.1419438226577
B_CUY_01_017_07,553.38224,1097.556057729601,544.173817729601
B_CUY_01_014_04,648.63656,856.8445682074149,208.20800820741488
B_CUY_01_014_12,648.63656,938.5539729076065,289.9174129076065
B_CUY_01_014_08,648.63656,653.675237601533,5.0386776015329815
B_CUY_01_014_11,648.63656,704.9092427108424,56.27268271084233
B_CUY_01_017_04,553.38224,941.4248438835592,388.0426038835592
B_CUY_01_026_02,734.81904,699.6091732167758,35.20986678322413
B_CUY_01_014_05,648.63656,834.7609453154712,186.12438531547116
B_CUY_01_014_14,648.63656,807.1564167005416,158.5198567005416
B_CUY_01_024_03,771.1064,757.9099376515072,13.196462348492787
B_CUY_01_024_06,771.1064,995.9713924266601,224.86499242666014
B_CUY_01_014_16,648.63656,991.1129953904325,342.47643539043247
B_CUY_01_026_06,734.81904,779.1102156277731,44.2911756277731
B_CUY_01_017_09,553.38224,1044.7761990178556,491.39395901785554
B_CUY_01_017_03,553.38224,807.1564167005416,253.7741767005416
B_CUY_01_014_15,648.63656,742.0097291693078,93.37316916930774
B_CUY_01_026_04,734.81904,837.4109800625044,102.59194006250448
